                        Symbol                                                    $                                                      (                                                      )                                                      ;                                                    addop                                                  float                                                   id                                                     if                                                     int                                                   mulop                                                   num                                                   relop                                                  while                                                    }                           
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                      ASSIGNMENT                                                sync                                                   Error                                                  Error                                                  Error                                                  Error                                                  sync                                          id assign EXPRESSION ;                                          sync                                                   sync                                                   Error                                                  Error                                                  Error                                                  sync                                                   sync                          
                      DECLARATION                                               sync                                                   Error                                                  Error                                                  Error                                                  Error                                           PRIMITIVE_TYPE id ;                                           sync                                                   sync                                            PRIMITIVE_TYPE id ;                                           Error                                                  Error                                                  Error                                                  sync                                                   sync                          
                      EXPRESSION                                                Error                                    SIMPLE_EXPRESSION TEMP_EXPRESSION                                    sync                                                   sync                                     SIMPLE_EXPRESSION TEMP_EXPRESSION                                    Error                                    SIMPLE_EXPRESSION TEMP_EXPRESSION                                    Error                                                  Error                                                  Error                                    SIMPLE_EXPRESSION TEMP_EXPRESSION                                    Error                                                  Error                                                  Error                         
                        FACTOR                                                  Error                                             ( EXPRESSION )                                              sync                                                   sync                                                   sync                                                   Error                                                   id                                                    Error                                                  Error                                                  sync                                                    num                                                   sync                                                   Error                                                  Error                         
                          IF                                                    sync                                                   Error                                                  Error                                                  Error                                                  Error                                                  sync                                                   sync                            if ( EXPRESSION ) { STATEMENT } else { STATEMENT }                            sync                                                   Error                                                  Error                                                  Error                                                  sync                                                   sync                          
                      METHOD_BODY                                               sync                                                   Error                                                  Error                                                  Error                                                  Error                                             STATEMENT_LIST                                         STATEMENT_LIST                                         STATEMENT_LIST                                         STATEMENT_LIST                                              Error                                                  Error                                                  Error                                             STATEMENT_LIST                                              Error                         
                    PRIMITIVE_TYPE                                              Error                                                  Error                                                  Error                                                  Error                                                  Error                                                  float                                                  sync                                                   Error                                                   int                                                   Error                                                  Error                                                  Error                                                  Error                                                  Error                         
                         SIGN                                                   Error                                                  sync                                                   Error                                                  Error                                                  addop                                                  Error                                                  sync                                                   Error                                                  Error                                                  Error                                                  sync                                                   Error                                                  Error                                                  Error                         
                   SIMPLE_EXPRESSION                                            Error                              TEMP_SIMPLE_EXPRESSION SIMPLE_EXPRESSION_DASH                              sync                                                   sync                               TEMP_SIMPLE_EXPRESSION SIMPLE_EXPRESSION_DASH                              Error                              TEMP_SIMPLE_EXPRESSION SIMPLE_EXPRESSION_DASH                              Error                                                  Error                                                  Error                              TEMP_SIMPLE_EXPRESSION SIMPLE_EXPRESSION_DASH                              sync                                                   Error                                                  Error                         
                SIMPLE_EXPRESSION_DASH                                          Error                                                  Error                                                   ε                                                     ε                                      addop TERM SIMPLE_EXPRESSION_DASH                                    Error                                                  Error                                                  Error                                                  Error                                                  Error                                                  Error                                                   ε                                                    Error                                                  Error                         
                       STATEMENT                                                sync                                                   Error                                                  Error                                                  Error                                                  Error                                               DECLARATION                                            ASSIGNMENT                                                 IF                                                 DECLARATION                                               Error                                                  Error                                                  Error                                                  WHILE                                                  sync                          
                    STATEMENT_LIST                                              sync                                                   Error                                                  Error                                                  Error                                                  Error                                      STATEMENT STATEMENT_LIST_DASH                          STATEMENT STATEMENT_LIST_DASH                          STATEMENT STATEMENT_LIST_DASH                          STATEMENT STATEMENT_LIST_DASH                                      Error                                                  Error                                                  Error                                      STATEMENT STATEMENT_LIST_DASH                                      Error                         
                  STATEMENT_LIST_DASH                                            ε                                                    Error                                                  Error                                                  Error                                                  Error                                      STATEMENT STATEMENT_LIST_DASH                          STATEMENT STATEMENT_LIST_DASH                          STATEMENT STATEMENT_LIST_DASH                          STATEMENT STATEMENT_LIST_DASH                                      Error                                                  Error                                                  Error                                      STATEMENT STATEMENT_LIST_DASH                                      Error                         
                    TEMP_EXPRESSION                                             Error                                                  Error                                                   ε                                                     ε                                                    Error                                                  Error                                                  Error                                                  Error                                                  Error                                                  Error                                                  Error                                         relop SIMPLE_EXPRESSION                                         Error                                                  Error                         
                TEMP_SIMPLE_EXPRESSION                                          Error                                                  TERM                                                   sync                                                   sync                                                 SIGN TERM                                                Error                                                  TERM                                                   Error                                                  Error                                                  Error                                                  TERM                                                   sync                                                   Error                                                  Error                         
                         TERM                                                   Error                                            FACTOR TERM_DASH                                             sync                                                   sync                                                   sync                                                   Error                                            FACTOR TERM_DASH                                             Error                                                  Error                                                  Error                                            FACTOR TERM_DASH                                             sync                                                   Error                                                  Error                         
                       TERM_DASH                                                Error                                                  Error                                                   ε                                                     ε                                                     ε                                                    Error                                                  Error                                                  Error                                                  Error                                         mulop FACTOR TERM_DASH                                          Error                                                   ε                                                    Error                                                  Error                         
                         WHILE                                                  sync                                                   Error                                                  Error                                                  Error                                                  Error                                                  sync                                                   sync                                                   sync                                                   sync                                                   Error                                                  Error                                                  Error                                   while ( EXPRESSION ) { STATEMENT }                                    sync                          
